brand_name,model,release_year,curve_index,soc_percent,charging_power_kW
Audi,sportbacketron 45,2022,3,80.0,30.64
Audi,sportbacketron 45,2022,4,100.0,11.0
Audi,sportbacketron 45,2023,0,0.0,77.0
Audi,sportbacketron 45,2023,1,30.0,77.0
Audi,sportbacketron 45,2023,2,60.0,53.9
Audi,sportbacketron 45,2023,3,80.0,30.8
Audi,sportbacketron 45,2023,4,100.0,11.0
Audi,sportbacketron 50,2021,0,0.0,76.6
Audi,sportbacketron 50,2021,1,20.0,76.6
Audi,sportbacketron 50,2021,2,40.0,61.0
Audi,sportbacketron 50,2021,3,60.0,46.0
Audi,sportbacketron 50,2021,4,80.0,31.0
Audi,sportbacketron 50,2021,5,100.0,11.0
Audi,sportbacketron 55,2023,0,0.0,77.0
Audi,sportbacketron 55,2023,1,30.0,77.0
Audi,sportbacketron 55,2023,2,60.0,53.9
Audi,sportbacketron 55,2023,3,80.0,30.8
Audi,sportbacketron 55,2023,4,100.0,11.0
BMW,120 ah,2018,0,0.0,37.9
BMW,120 ah,2018,1,50.0,37.9
BMW,120 ah,2018,2,80.0,22.74
BMW,120 ah,2018,3,100.0,37.9
BMW,edrive20,2023,0,0.0,64.7
BMW,edrive20,2023,1,30.0,64.7
BMW,edrive20,2023,2,60.0,45.29
BMW,edrive20,2023,3,80.0,25.88
BMW,edrive20,2023,4,100.0,11.0
BMW,edrive20,2024,0,0.0,64.7
BMW,edrive20,2024,1,30.0,64.7
BMW,edrive20,2024,2,60.0,45.29
BMW,edrive20,2024,3,80.0,25.88
BMW,edrive20,2024,4,100.0,11.0
BMW,edrive35,2022,0,0.0,67.0
BMW,edrive35,2022,1,30.0,67.0
BMW,edrive35,2022,2,60.0,46.9
BMW,edrive35,2022,3,80.0,26.8
BMW,edrive35,2022,4,100.0,11.0
BMW,edrive40,2021,0,0.0,80.7
BMW,edrive40,2021,1,20.0,80.7
BMW,edrive40,2021,2,40.0,65.0
BMW,edrive40,2021,3,60.0,48.0
BMW,edrive40,2021,4,80.0,32.0
BMW,edrive40,2021,5,100.0,11.0
BMW,edrive40 sedan,2023,0,0.0,81.2
BMW,edrive40 sedan,2023,1,30.0,81.2
BMW,edrive40 sedan,2023,2,60.0,56.84
BMW,edrive40 sedan,2023,3,80.0,32.48
BMW,edrive40 sedan,2023,4,100.0,11.0
BMW,edrive50,2023,0,0.0,101.7
BMW,edrive50,2023,1,30.0,101.7
BMW,edrive50,2023,2,60.0,71.19
BMW,edrive50,2023,3,80.0,40.68
BMW,edrive50,2023,4,100.0,11.0
BMW,i3,2013,0,0.0,43.0
BMW,i3,2013,1,30.0,47.0
BMW,i3,2013,2,33.0,44.0
BMW,i3,2013,3,62.0,44.0
BMW,i3,2013,4,100.0,3.0
BMW,i3,2020,0,0.0,43.0
BMW,i3,2020,1,10.0,44.0
BMW,i3,2020,2,20.0,45.0
BMW,i3,2020,3,40.0,46.0
BMW,i3,2020,4,60.0,47.0
BMW,i3,2020,5,80.0,48.0
BMW,i3,2020,6,85.0,50.0
BMW,i3,2020,7,90.0,35.0
BMW,i3,2020,8,100.0,11.0
BMW,i3 94,2016,0,0.0,47.0
BMW,i3 94,2016,1,70.0,47.0
BMW,i3 94,2016,2,80.0,32.9
BMW,i3 94,2016,3,100.0,27.2
BMW,i3 94,2017,0,0.0,27.2
BMW,i3 94,2017,1,70.0,27.2
BMW,i3 94,2017,2,80.0,19.04
BMW,i3 94,2017,3,100.0,27.2
BMW,i3S,2019,0,0.0,49.0
BMW,i3S,2019,1,45.0,46.0
BMW,i3S,2019,2,60.0,40.0
BMW,i3S,2019,3,80.0,27.0
BMW,i3S,2019,4,100.0,14.0
BMW,i3S,2020,0,0.0,47.5
BMW,i3S,2020,1,75.0,50.0
BMW,i3S,2020,2,100.0,11.0
BMW,i3s 94,2017,0,0.0,27.2
BMW,i3s 94,2017,1,70.0,27.2
BMW,i3s 94,2017,2,80.0,19.04
BMW,i3s 94,2017,3,100.0,27.2
BMW,i4,2021,0,0.0,196.6
BMW,i4,2021,1,75.0,207.0
BMW,i4,2021,2,100.0,11.0
BMW,i4,2022,0,0.0,171.0
BMW,i4,2022,1,75.0,180.0
BMW,i4,2022,2,100.0,11.0
BMW,i4,2024,0,0.0,207.0
BMW,i4,2024,1,20.0,207.0
BMW,i4,2024,2,40.0,166.0
BMW,i4,2024,3,60.0,124.0
BMW,i4,2024,4,80.0,83.0
BMW,i4,2024,5,100.0,11.0
BMW,i5,2023,0,0.0,195.7
BMW,i5,2023,1,75.0,206.0
BMW,i5,2023,2,100.0,11.0
BMW,i5,2024,0,0.0,195.7
BMW,i5,2024,1,75.0,206.0
BMW,i5,2024,2,100.0,11.0
BMW,i5 xDrive40 Touring,2025,0,0.0,206.0
BMW,i5 xDrive40 Touring,2025,1,50.0,206.0
BMW,i5 xDrive40 Touring,2025,2,80.0,103.0
BMW,i5 xDrive40 Touring,2025,3,100.0,41.2
BMW,i7,2022,0,0.0,185.3
BMW,i7,2022,1,75.0,195.0
BMW,i7,2022,2,100.0,11.0
BMW,i7,2023,0,0.0,200.0
BMW,i7,2023,1,50.0,200.0
BMW,i7,2023,2,80.0,120.0
BMW,i7,2023,3,100.0,60.0
BMW,iX,2021,0,0.0,140.6
BMW,iX,2021,1,50.0,148.0
BMW,iX,2021,2,80.0,74.0
BMW,iX,2021,3,100.0,29.6
BMW,iX,2022,0,0.0,185.25
BMW,iX,2022,1,50.0,195.0
BMW,iX,2022,2,80.0,97.5
BMW,iX,2022,3,100.0,39.0
BMW,iX M70 xDrive,2025,0,0.0,195.0
BMW,iX M70 xDrive,2025,1,50.0,195.0
BMW,iX M70 xDrive,2025,2,80.0,117.0
BMW,iX M70 xDrive,2025,3,100.0,58.5
BMW,iX xDrive45,2025,0,0.0,175.0
BMW,iX xDrive45,2025,1,50.0,175.0
BMW,iX xDrive45,2025,2,80.0,87.5
BMW,iX xDrive45,2025,3,100.0,35.0
BMW,iX xDrive60,2025,0,0.0,195.0
BMW,iX xDrive60,2025,1,50.0,195.0
BMW,iX xDrive60,2025,2,80.0,117.0
BMW,iX xDrive60,2025,3,100.0,58.5
BMW,iX1,2022,0,0.0,123.5
BMW,iX1,2022,1,75.0,130.0
BMW,iX1,2022,2,100.0,11.0
BMW,iX1 eDrive20,2023,0,0.0,128.0
BMW,iX1 eDrive20,2023,1,50.0,128.0
BMW,iX1 eDrive20,2023,2,80.0,76.8
BMW,iX1 eDrive20,2023,3,100.0,38.4
BMW,iX2 eDrive20,2024,0,0.0,128.0
BMW,iX2 eDrive20,2024,1,50.0,128.0
BMW,iX2 eDrive20,2024,2,80.0,76.8
BMW,iX2 eDrive20,2024,3,100.0,38.4
BMW,iX2 xDrive30,2023,0,0.0,128.0
BMW,iX2 xDrive30,2023,1,50.0,128.0
BMW,iX2 xDrive30,2023,2,80.0,76.8
BMW,iX2 xDrive30,2023,3,100.0,38.4
BMW,iX3,2020,0,0.0,142.5
BMW,iX3,2020,1,75.0,150.0
BMW,iX3,2020,2,100.0,11.0
BMW,iX3,2021,0,0.0,74.0
BMW,iX3,2021,1,30.0,74.0
BMW,iX3,2021,2,60.0,51.8
BMW,iX3,2021,3,80.0,29.6
BMW,iX3,2021,4,100.0,11.0
BMW,m50,2021,0,0.0,80.7
BMW,m50,2021,1,20.0,80.7
BMW,m50,2021,2,40.0,65.0
BMW,m50,2021,3,60.0,48.0
BMW,m50,2021,4,80.0,32.0
BMW,m50,2021,5,100.0,11.0
BMW,m60,2022,0,0.0,105.2
BMW,m60,2022,1,20.0,105.2
BMW,m60,2022,2,40.0,84.0
BMW,m60,2022,3,60.0,63.0
BMW,m60,2022,4,80.0,42.0
BMW,m60,2022,5,100.0,11.0
BMW,m60 xdrive sedan,2023,0,0.0,81.2
BMW,m60 xdrive sedan,2023,1,30.0,81.2
BMW,m60 xdrive sedan,2023,2,60.0,56.84
BMW,m60 xdrive sedan,2023,3,80.0,32.48
BMW,m60 xdrive sedan,2023,4,100.0,11.0
BMW,m70 xdrive,2023,0,0.0,101.7
BMW,m70 xdrive,2023,1,30.0,101.7
BMW,m70 xdrive,2023,2,60.0,71.19
BMW,m70 xdrive,2023,3,80.0,40.68
BMW,m70 xdrive,2023,4,100.0,22.0
BMW,xdrive30,2022,0,0.0,64.7
BMW,xdrive30,2022,1,30.0,64.7
BMW,xdrive30,2022,2,60.0,45.29
BMW,xdrive30,2022,3,80.0,25.88
