station_id,latitude,longitude,company_id,charger_type,rated_power_kw,station_connectors,operator_name
d2677ede077bed4b90d8ab03c3373183,51.544714,-0.057088,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
31128406e43c4606c19a02b5614e4571,51.509946,-0.005424,7,Slow,7.0,"('Type2',)",The GeniePoint Network
31128406e43c4606c19a02b5614e4571,51.509946,-0.005424,8,Slow,7.0,"('Type2',)",The GeniePoint Network
d88b3bdeeb6e9b3268490211e257480c,51.52269,-0.14275,7,Slow,7.0,"('Type2',)",The GeniePoint Network
d88b3bdeeb6e9b3268490211e257480c,51.52269,-0.14275,8,Slow,7.0,"('Type2',)",The GeniePoint Network
26d7380e67d377820751431c8078bb83,51.507172,-0.026707,7,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
26d7380e67d377820751431c8078bb83,51.507172,-0.026707,8,Rapid,50.0,"('CCS2', 'CHAdeMO', 'Type2')",The GeniePoint Network
399ca2cae756946bfc919c8a00bbe304,51.486733,-0.075424,4,Slow,3.7,"('Type2',)",Char.gy
0cc36676967cb7edbb302fb4aafc34bc,51.500953,-0.083115,4,Slow,3.7,"('Type2',)",Char.gy
9ece71688524018ec6945ed5ac7c5245,51.503456,-0.098072,4,Slow,5.0,"('Type2',)",Char.gy
8013c5ea1457c21c9bbebddae680c2ab,51.499423,-0.103565,4,Slow,5.0,"('Type2',)",Char.gy
d045762be9be6e356ff55b6d24cbd314,51.495758,-0.097071,4,Slow,4.8,"('Type2',)",Char.gy
ee2eedca83dd243e0b972e70b3ff28d5,51.496185,-0.086764,4,Slow,4.8,"('Type2',)",Char.gy
aae0d20fe138ea808e60f77f714c251e,51.50071,-0.068971,4,Slow,5.0,"('Type2',)",Char.gy
bba74a67c37f859b50c1d3155652a27b,51.499238,-0.103779,4,Slow,5.0,"('Type2',)",Char.gy
9c110fa312e5223724a41c1dc4fabcb4,51.50187,-0.101994,4,Slow,5.0,"('Type2',)",Char.gy
fb42cfc88e16f79a2b3cb9fbcc1ea8c5,51.487307,-0.073002,4,Slow,3.7,"('Type2',)",Char.gy
11b9751478fa8741d4935017eeb51b04,51.498249,-0.086924,4,Slow,3.7,"('Type2',)",Char.gy
37ef41c2510a35314b7deb1b5b167e8f,51.500989,-0.100034,4,Slow,3.7,"('Type2',)",Char.gy
8bd7a497d7c2f63f6dd64dbda8a0a781,51.497282,-0.086563,4,Slow,3.7,"('Type2',)",Char.gy
92a57da0ff3323f27fec39ade78d3db8,51.49941,-0.1021,4,Slow,3.7,"('Type2',)",Char.gy
cf92409f112c49c4893e1d78b7b14a5b,51.495249,-0.087544,4,Slow,3.7,"('Type2',)",Char.gy
f90ebc567e064d02b8d7b21c91f76ffa,51.490688,-0.073921,4,Slow,3.7,"('Type2',)",Char.gy
2833be9fd49a063a36d3de1e5e28abc4,51.497235,-0.105256,4,Slow,5.0,"('Type2',)",Char.gy
db44eb3ee4900a08b21e9f2ff8b74b12,51.503257,-0.10312,4,Slow,3.7,"('Type2',)",Char.gy
05c49d8ad656b7f9435f6371de69d41f,51.501429,-0.106493,4,Slow,3.7,"('Type2',)",Char.gy
d2e4c90cfa9f7f364387dde842fa8463,51.496089,-0.098015,4,Slow,3.7,"('Type2',)",Char.gy
f809a98d985ac44a9ec8527788eed38e,51.526288,-0.01685,4,Slow,5.0,"('Type2',)",Char.gy
3810ea0abde04c78411cbc776f4aeec1,51.509328,-0.007419,4,Slow,5.0,"('Type2',)",Char.gy
4901dbcdcf1627b67e8aa29958da4af8,51.514545,-0.005532,4,Slow,5.0,"('Type2',)",Char.gy
fbca7c48c185890bd31f538b91ba5fbb,51.514364,-0.019356,4,Slow,5.0,"('Type2',)",Char.gy
1c34bf1931d3009da403034004b2460a,51.514944,0.001077,4,Slow,5.0,"('Type2',)",Char.gy
cb4eccaf040af1e8450a20cfb495a247,51.521586,-0.022955,4,Slow,5.0,"('Type2',)",Char.gy
d054494ddc7a3d0cbea56d03c4217152,51.524172,-0.019225,4,Slow,5.0,"('Type2',)",Char.gy
6dae90f127d0b89f423a13d71d355c01,51.512886,-0.006096,4,Slow,5.0,"('Type2',)",Char.gy
