chargeDeviceID,name,latitude,longitude,postcode,borough_cleaned,countryCode,deviceNetworks,locationType
f17adbe191290e36a54c0f517a86697c,"Fairfoot Road, opposite junction with Spanby Road",51.522576,-0.023064,E3 4EH,tower hamlets,gb,Char.gy,On-street
1acf75ecd96a09b5e677c45d7913ffd3,"Blair Street, Opposite Goodway Gardens",51.513278,-0.003574,E14 0PZ,tower hamlets,gb,Char.gy,On-street
39b6d5c1d3c6db11155b975f1b08059f,Opposite 22 Zetland Street,51.517498,-0.011921,E14 6PX,tower hamlets,gb,Char.gy,On-street
2ce26e1584240d17297b1fdb297987a1,35 Folly Wall,51.499005,-0.007979,E14 3YH,tower hamlets,gb,Char.gy,On-street
d33dfcea8ac4d9f36252b0be9fa37642,"Watts Grove, adjacent to Pankhurst Avenue",51.519347,-0.019187,E3 3RH,tower hamlets,gb,Char.gy,On-street
1362f40a74f105fcd524bdb9bcf53885,"Godalming Road, junction with Chrisp Street",51.515937,-0.016013,E14 6AF,tower hamlets,gb,Char.gy,On-street
57b685cee8e83f5550ee4c7e065495b3,Opposite 8 Giraud Street,51.514536,-0.018248,E14 6EA,tower hamlets,gb,Char.gy,On-street
c5c214e1ede9e0075e0f054230e3b736,107 Parnell Road,51.534706,-0.027341,E3 2RT,tower hamlets,gb,Char.gy,On-street
f020add501125dba9ca6ded72ac45c86,119 Cordelia Street,51.513839,-0.016635,E14 6ED,tower hamlets,gb,Char.gy,On-street
dbf0648d4262826f0cc8c073dc5a01b6,Opposite 165 Chrisp Street,51.516298,-0.016191,E14 6PQ,tower hamlets,gb,Char.gy,On-street
a0fd70df593b1e22bc87f20590ffdace,73 - 95 Brabazon Street,51.516628,-0.01755,E14 6BL,tower hamlets,gb,Char.gy,On-street
a900824bc142c3649c0eeffe6d8b066d,"Carmen Street, opposite junction with Carron Close",51.514863,-0.015997,E14 6AX,tower hamlets,gb,Char.gy,On-street
b74fb97114a32922e01c742355411425,Opposite 75 Ricardo Street,51.512967,-0.017442,E14 6EQ,tower hamlets,gb,Char.gy,On-street
95af518bc409baa9f881effcb2294470,"Opposite Children and Family Centre, Kerbey Street",51.512653,-0.015778,E14 6AD,tower hamlets,gb,Char.gy,On-street
3f9d68b8f1b5a5aa28bb0ec2afe9ee1b,"Grundy Street, junction with Duff Street",51.512111,-0.017317,E14 6DR,tower hamlets,gb,Char.gy,On-street
22ed9cda50780af98618b8b70557d397,24 - 26 Duff Street,51.511873,-0.017576,E14 6DL,tower hamlets,gb,Char.gy,On-street
4de26a1c0a3616fc451da00c47be2aa0,12 Rigden Street,51.511556,-0.018251,E14 6DJ,tower hamlets,gb,Char.gy,On-street
3cedf820aad09dd5fe2e37df856bb43a,9 Sturry Street,51.511843,-0.016283,E14 6DB,tower hamlets,gb,Char.gy,On-street
25fe42000ef352113656e5370de21606,"Opposite George Lansbury Garden, Annabel Close",51.511756,-0.019092,E14 6DF,tower hamlets,gb,Char.gy,On-street
855ccf4bfb668f127591305ff3164c47,"Queen Victoria Seamen's Rest, Jeremiah Street",51.511351,-0.018519,E14 6DH,tower hamlets,gb,Char.gy,On-street
d72c9bc9b70656f48bae24306e0fa9e1,"Opposite Running Track, Hay Currie Street",51.514307,-0.013643,E14 0FS,tower hamlets,gb,Char.gy,On-street
312cb2fc69832bee369c32dcd6928414,48 - 94 Burcham Street,51.514157,-0.011268,E14 0SH,tower hamlets,gb,Char.gy,On-street
0828046d2c6e431211d7282df084535a,"Andrew Street, junction with St Leonards Road",51.514301,-0.010031,E14 0SW,tower hamlets,gb,Char.gy,On-street
1694c0072e36db25bdbff63b41216335,140 Brownfield Street,51.512859,-0.011121,E14 6ND,tower hamlets,gb,Char.gy,On-street
d2ba7bb26e6c6ea91f913607ac93b6ee,Opposite 12 Lodore Street,51.51217,-0.010192,E14 6LY,tower hamlets,gb,Char.gy,On-street
3b90881795de51a01c917b89b39b7ea5,Opposite 6 Follett Street,51.511818,-0.010705,E14 6LX,tower hamlets,gb,Char.gy,On-street
0383442f3e9ecfed86a1b26b7e77ec3b,69 Uamvar Street,51.519507,-0.013039,E14 6QY,tower hamlets,gb,Char.gy,On-street
33a8120a1d1259be3983a2e04d5fd12d,Opposite 26 Venue Street,51.519002,-0.011749,E14 6QA,tower hamlets,gb,Char.gy,On-street
07bac5d43b1c6a2583ff7ca8f6ac9715,"Managers Street, junction with Coldharbour",51.502771,-0.007851,E14 9NY,tower hamlets,gb,Char.gy,On-street
960e711f97d1b68fc370bdf4028c9df3,"Chipka Street, junction with East Ferry Road",51.498759,-0.010819,E14 3LD,tower hamlets,gb,Char.gy,On-street
de8bf9dbdf2c3be79a604d463d7fb731,Opposite 4 Plevna Street,51.497682,-0.010154,E14 3PE,tower hamlets,gb,Char.gy,On-street
776652d4ea55c51d8be0d7021199dfbc,"Opposite Killoran House, Galbraith Street",51.496585,-0.011453,E14 3LR,tower hamlets,gb,Char.gy,On-street
32b460678e6cce63b88c2cb1d0046603,"The George, Glengall Grove",51.496039,-0.01364,E14 3ND,tower hamlets,gb,Char.gy,On-street
6663a8e6c4eae2aaa947357e1d655e4c,"Strattondale Street, junction with Glengall Grove",51.495719,-0.011852,E14 3HG,tower hamlets,gb,Char.gy,On-street
721e9c5281a9aef48f6f2edba747d453,"Lingard House, Marshfield Street",51.495857,-0.010381,E14 3HH,tower hamlets,gb,Char.gy,On-street
eaedc91adac4766db1711c0ba60da7f6,"Hedley House, Stewart Street",51.496954,-0.008062,E14 3JE,tower hamlets,gb,Char.gy,On-street
78c1d193f5e37e96f2537cb3876e7599,"Castleton House, Pier Street",51.491832,-0.007222,E14 3HR,tower hamlets,gb,Char.gy,On-street
3b923d6c4bded15610b7f97543ce095a,"Seyssel Street, junction with Saunders Ness Road",51.490751,-0.004951,E14 3DE,tower hamlets,gb,Char.gy,On-street
e7fbe8682857b4751f948e0af18de9dd,30 Kingfield Street ,51.490837,-0.007937,E14 3DD,tower hamlets,gb,Char.gy,On-street
b9b2fd077b3fcd0a14cc60d8addb5a68,Opposite 37 Parsonage Street,51.489839,-0.008463,E14 3DB,tower hamlets,gb,Char.gy,On-street
9f48597b8abf893bd6e44327c7f0e5d9,"Glengarnock Avenue, junction with Stebondale Street",51.489355,-0.008645,E14 3BP,tower hamlets,gb,Char.gy,On-street
54e668dfe1b4aa20352c25a5b50655c9,"Christ & St John with St Luke Church, Glenaffric Avenue",51.488938,-0.006435,E14 3BW,tower hamlets,gb,Char.gy,On-street
0996acdd11da6c450be4be93baeea3e8,"Spindrift Avenue, junction with Whiteadder Way",51.490884,-0.017223,E14 9UL,tower hamlets,gb,Char.gy,On-street
c386493506d9c67ef6701660db27a79e,"31 Ironmongers Place, Spindrift Avenue",51.490905,-0.021148,E14 9WU,tower hamlets,gb,Char.gy,On-street
255c8b42091cbcfe8904a04dcf1f307a,"Tiller Road, junction with Westferry Road",51.496368,-0.025549,E14 8PD,tower hamlets,gb,Char.gy,On-street
37b44f571a4697022bab0f733e150fb7,Opposite 12 Poplar High Street,51.50941,-0.02101,E14 0DJ,tower hamlets,gb,Char.gy,On-street
8f626b44a3e98f14696103fbd6136837,"Pennyfields Park, Morant Street",51.510121,-0.022482,E14 8EL,tower hamlets,gb,Char.gy,On-street
f131cf88305aca943f3052bab0c56ffe,9 Gill Street,51.511383,-0.029155,E14 7HF,tower hamlets,gb,Char.gy,On-street
60b8f40cfe29f905dba0ddff131b6277,Opposite 27 Belgrave Street,51.514107,-0.0414,E1 0NF,tower hamlets,gb,Char.gy,On-street
22393d4c0c43b1b31bc3cae365051c8f,Opposite 3 Duckett Street,51.521129,-0.041286,E1 4SP,tower hamlets,gb,Char.gy,On-street
95f17c1aabc6396443c61dada8e40055,Opposite 2 Approach Road,51.530666,-0.052118,E2 9LY,tower hamlets,gb,Char.gy,On-street
419323df2aa3e557c892fa6673b81e88,Opposite 14 Sewardstone Road,51.531918,-0.04552,E2 9QA,tower hamlets,gb,Char.gy,On-street
2e543618283fba6fe366514e967915fd,"Bygrove Street, junction with Ricardo Street",51.512805,-0.018326,E14 6DN,tower hamlets,gb,Char.gy,On-street
878182b342ecdb1a868c3e865d6d963d,"Old Nichol Street, junction with Swanfield Street",51.524985,-0.073042,E2 7DW,tower hamlets,gb,Char.gy,On-street
97529958094368490e2f7b653c57baf5,"Leopold Buildings, Columbia Road",51.528113,-0.074557,E2 7QB,tower hamlets,gb,Char.gy,On-street
002ce1207eebc8842e032af7afe81953,3 Turners Road,51.51651,-0.032745,E3 4LF,tower hamlets,gb,Char.gy,On-street
da133ff1e842fe72646d1c300e76ef24,"Stebondale Street, Opposite Kingsfield Street",51.490883,-0.008283,E14 3BX,tower hamlets,gb,Char.gy,On-street
daa3ea6264815d40f2805589c3f9423d,"Ross House, Cinnamon Street",51.504898,-0.056838,E1W 3NR,tower hamlets,gb,Char.gy,On-street
297574e436e7466386da63886436195b,"Frobisher House, Watts Street",51.505337,-0.058912,E1W 2PY,tower hamlets,gb,Char.gy,On-street
0f9c3ffa4c8a9c246139bc4c6b6075c9,"Reardon Path, corner of Watts Street",51.505193,-0.059709,E1W 2QF,tower hamlets,gb,Char.gy,On-street
dbb6289c55dcd28aefa44b7ea18d0592,"Opposite Martingale House, Raine Street",51.506691,-0.058322,E1W 3AQ,tower hamlets,gb,Char.gy,On-street
a19e49f070ffa5602842b056bd2964d9,58 Kennet Street,51.50688,-0.064233,E1W 2JU,tower hamlets,gb,Char.gy,On-street
e18f3b583c92e1655356ebb3284387e4,"The Turks Head, Green Bank",51.504159,-0.06115,E1W 2PA,tower hamlets,gb,Char.gy,On-street
7b4c087df3c5e639889d92a8805ce910,"Clegg Street, junction with Prusom Street",51.505514,-0.056766,E1W 3AT,tower hamlets,gb,Char.gy,On-street
4aea3b9491643885cb9736016ba9375e,10 Deancross Street,51.513785,-0.055089,E1 2QA,tower hamlets,gb,Char.gy,On-street
ebf599ed514bb6c73d4ff13211492ba4,129 Back Church Lane,51.514156,-0.066655,E1 1LS,tower hamlets,gb,Char.gy,On-street
ae0e2440b77383410b3e5ce67dad274b,Opposite 5 Sampson Street,51.50421,-0.064062,E1W 1NA,tower hamlets,gb,Char.gy,On-street
b98b8535a8ee6f19a5751263de80ede6,6 Alie Street,51.513303,-0.072429,E1 8DE,tower hamlets,gb,Char.gy,On-street
3b011e447e50f42d6e5c26e97e439713,"11 - 20 Dellow House, Dellow Street",51.51053,-0.056817,E1 0BW,tower hamlets,gb,Char.gy,On-street
ad701daa7c23c6cd1c785cbd4d9ee821,27 Thomas More Street,51.507174,-0.068026,E1W 1YW,tower hamlets,gb,Char.gy,On-street
57888eac5f0e18b216d347ff752bff03,181 Lynton Road,51.489633,-0.067218,SE1 5RF,lambeth,gb,Char.gy,On-street
fbed2030553a7edb64201625e814453a,239 Lynton Road,51.489551,-0.063906,SE1 5DR,lambeth,gb,Char.gy,On-street
21e928b66d9e8ffe89b0e981813046e9,"Opposite Great Dover Street Apartments, Tabard Street",51.497793,-0.088869,SE1 4LA,lambeth,gb,Char.gy,On-street
8e652f6b900c793ec9e6e7d7d4fd1a29,"Tabard Gardens, Tabard Street",51.498479,-0.08961,SE1 4LP,lambeth,gb,Char.gy,On-street
cf6fadbf27f90685c5861bd663c50620,"Opposite Mathieson Court, King James Street",51.499711,-0.101787,SE1 0RU,lambeth,gb,Char.gy,On-street
6c9a5d01bd76129e6858834c33a0db64,12 Morley Street,51.499275,-0.109041,SE1 7QZ,lambeth,gb,Char.gy,On-street
