brand_name,model,release_year,battery_kWh,avg_consumption_Wh_per_km,ac_phases,ac_max_power_kW,dc_max_power_kW,has_default_charging_curve
Hyundai,INSTER Long Range,2024,46.0,15.6,3,11.0,85.0,False
Hyundai,INSTER Standard Range,2024,39.0,15.6,3,11.0,73.0,False
Hyundai,IONIQ,2016,28.0,14.7,3,28.0,28.0,True
Hyundai,Kona Electric 64,2018,64.0,16.4,3,11.0,64.0,False
Hyundai,Kona Electric 39,2018,39.2,16.0,3,39.2,39.2,False
Hyundai,electric,2019,38.3,15.3,3,38.3,38.3,True
Hyundai,electric,2019,64.0,16.4,3,11.0,64.0,False
Hyundai,electric,2019,39.2,16.0,3,39.2,39.2,False
Hyundai,5 project 45,2021,70.0,19.2,3,11.0,70.0,False
Hyundai,electric,2021,39.2,16.0,3,39.2,39.2,False
Hyundai,electric,2021,64.0,16.4,3,11.0,64.0,False
Hyundai,5 standard range 2wd,2021,54.0,18.3,3,11.0,54.0,False
Hyundai,5 standard range,2021,54.0,18.6,3,11.0,54.0,False
Hyundai,5 long range 2wd,2021,70.0,18.9,3,11.0,70.0,False
Hyundai,5 long range,2021,70.0,19.2,3,11.0,70.0,False
Hyundai,5 long range 2wd,2022,74.0,19.0,3,11.0,74.0,False
Hyundai,5 long range,2022,74.0,19.2,3,11.0,74.0,False
Hyundai,6 standard range 2wd,2023,50.0,14.9,3,11.0,50.0,False
Hyundai,6 long range 2wd,2022,74.0,14.9,3,11.0,74.0,False
Hyundai,6 long range,2022,74.0,16.8,3,11.0,74.0,False
Hyundai,electric,2023,48.4,16.4,3,11.0,48.4,False
Hyundai,electric,2023,65.4,16.8,3,11.0,65.4,False
Hyundai,5 n,2023,80.0,20.5,3,11.0,80.0,False
JAC,iEV7s,2021,39.0,17.3,3,6.6,39.0,False
Jaguar,i-Pace,2018,84.0,23.2,1,7.4,105.0,False
Jaguar,i-Pace,2020,84.0,23.2,3,11.0,105.0,False
Jaguar,i-Pace,2020,84.0,23.2,3,11.0,105.0,False
