chargeDeviceID,connector_type,rated_power_kW,charge_method,status
0f3e0e5556d3029bc8f05f48e743b1b8,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
0adeb012e4a8ac3aca132b75f0c3701e,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
31360d67aa0be6b83f52c446fd30c0c1,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
77624787c8ebbe9fad1847ad6a235137,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
fa26756219b7e6675229f4ddb5a06c9d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
55f51e0518470d3906ce07e5990a186f,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
8d296382e92472e3356550407640928a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
c071026d32e657a788e1cd32b5115016,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
421d5058658af43cb1795eb65f97d5c6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
fec84ba742dd91180f09377632741153,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
56f1a09566bc388a65b3007a201f0ff5,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
52087100703aa4bb69c68aca235831b3,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
c1bbe5148db7494931e8946973ee437e,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
54eb7b6d2996130c8991bb6ed77b4e41,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
5fd2e6e3604c8ebacfcc8104c8e24daa,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
fa165ff8db325cb58610d06084c18008,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
907f968e92a91c5415c23fc41f8c8e28,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
39a6f257084f0d9b4a22fb316ea8f7fd,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
68a667060cfef352831a03ec53b9c4b6,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
c1ed63f459999305fa16229fc508ef5b,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
fcb787a2bc2c458e8eaf517dbde66dc3,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
0af9929403d61a5a6eb6ae40a4900e29,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
203b7f95e887c984ef54628f8d7fca84,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
12abb7d08e46c6e6482d040daf69e00a,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
bdfe2f9e9863a6922ce2717e8e60b57f,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
f670bfbd952e478e8f00d91251a5301d,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
25823d0a4ec3d2055c39a81f837a6576,Type 2 Mennekes (IEC62196),7.0,Single Phase AC,In service
