brand_name,model,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/usable_phases,ac_charger/max_power,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power
BMW,i3S,2019,27.2,16.1,3,11,49,0,49,45,46,60,40,80,27,FALSE,,,100,14,,,,,,,,,,,,,,
BMW,i4,2022,67,16.8,3,11,180,0,171,75,180,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i4,2021,80.7,17.2,3,11,207,0,196.6,75,207,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i5,2023,81.2,19.3,3,11,206,0,195.7,75,206,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i5,2024,81.2,19.6,3,11,206,0,195.7,75,206,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i5,2023,81.2,17.3,3,11,206,0,195.7,75,206,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i5,2024,81.2,17.8,3,11,206,0,195.7,75,206,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i5,2024,81.2,17.8,3,11,206,0,195.7,75,206,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,i7,2022,101.7,19.9,3,11,195,0,185.3,75,195,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,iX,2022,105.2,21.7,3,22,195,0,185.25,50,195,80,97.5,100,39,TRUE,,,,,,,,,,,,,,,,,,
BMW,iX,2021,71,19.7,3,11,148,0,140.6,50,148,80,74,100,29.6,TRUE,,,,,,,,,,,,,,,,,,
BMW,iX,2021,105.2,20.8,3,11,195,0,185.25,50,195,80,97.5,100,39,TRUE,,,,,,,,,,,,,,,,,,
BMW,iX1,2022,64.7,18.2,3,11,130,0,123.5,75,130,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,iX3,2020,73.8,18.6,3,11,150,0,142.5,75,150,100,11,,,TRUE,,,,,,,,,,,,,,,,,,
BMW,iX xDrive60,2025,109.1,20.8,3,11,195,0,195,50,195,80,117,100,58.5,FALSE,525,,,,,,,,,,,,,,,,,
BMW,iX xDrive45,2025,94.8,20.2,3,11,175,0,175,50,175,80,87.5,100,35,FALSE,470,,,,,,,,,,,,,,,,,
BMW,iX2 eDrive20,2024,64.7,16.4,3,11,128,0,128,50,128,80,76.8,100,38.4,FALSE,395,,,,,,,,,,,,,,,,,
BMW,iX2 xDrive30,2023,64.7,16.8,3,11,128,0,128,50,128,80,76.8,100,38.4,FALSE,385,,,,,,,,,,,,,,,,,
BMW,i4,2024,81.3,18.1,3,11,207,0,207,20,207,40,166,60,124,TRUE,450,,80,83,100,11,,,,,,,,,,,,
BMW,i7,2023,101.7,20.8,3,11,200,0,200,50,200,80,120,100,60,FALSE,490,,,,,,,,,,,,,,,,,
BMW,i4,2024,81.3,16.6,3,11,207,0,207,20,207,40,166,60,124,TRUE,490,,80,83,100,11,,,,,,,,,,,,
